Rule   (Support, Confidence) 
Gene YHR001W-A high -> Gene YDL025C high  (1%, 25%)
Gene YDL025C high -> Gene YJL218W high  (1%, 21.4286%)
Gene YJL218W high -> Gene YDL025C high  (1%, 60%)
Gene YDL025C high -> Gene YBL048W high  (1%, 21.4286%)
Gene YBL048W high -> Gene YDL025C high  (1%, 37.5%)
Gene YDL025C high -> Gene YIR013C high  (1%, 21.4286%)
Gene YIR013C high -> Gene YDL025C high  (1%, 50%)
Gene YDL025C high -> Gene YPR192W high  (1%, 21.4286%)
Gene YPR192W high -> Gene YDL025C high  (1%, 42.8571%)
Gene YDL025C high -> Gene YOR280C high  (1%, 21.4286%)
Gene YOR280C high -> Gene YDL025C high  (1%, 50%)
Gene YDL025C high -> Gene YOR375C high  (1%, 21.4286%)
Gene YOR375C high -> Gene YDL025C high  (1%, 33.3333%)
Gene YDL025C high -> Gene YIL066C high  (1%, 21.4286%)
Gene YIL066C high -> Gene YDL025C high  (1%, 33.3333%)
Gene YDL025C high -> Gene YOL150C high  (1%, 21.4286%)
Gene YDL025C high -> Gene YNL294C high  (1%, 21.4286%)
Gene YNL294C high -> Gene YDL025C high  (1%, 27.2727%)
Gene YDL025C high -> Gene YGR205W high  (1%, 21.4286%)
Gene YGR205W high -> Gene YDL025C high  (1%, 30%)
Gene YDL025C high -> Gene YLR279W high  (1%, 21.4286%)
Gene YLR279W high -> Gene YDL025C high  (1%, 37.5%)
Gene YDL025C high -> Gene YNL192W high  (1%, 21.4286%)
Gene YNL192W high -> Gene YDL025C high  (1%, 33.3333%)
Gene YDL025C high -> Gene YLR460C high  (1%, 21.4286%)
Gene YLR460C high -> Gene YDL025C high  (1%, 33.3333%)
Gene YDL025C high -> Gene YDL241W high  (1%, 21.4286%)
Gene YDL025C high -> Gene YGR166W high  (1%, 21.4286%)
Gene YGR166W high -> Gene YDL025C high  (1%, 21.4286%)
Gene YDL025C high -> Gene YEL009C high  (1%, 21.4286%)
Gene YEL009C high -> Gene YDL025C high  (1%, 27.2727%)
Gene YDL025C high -> Gene YPR151C high  (1%, 21.4286%)
Gene YPR151C high -> Gene YDL025C high  (1%, 60%)
Gene YDL025C high -> Gene YBR050C high  (1%, 21.4286%)
Gene YBR050C high -> Gene YDL025C high  (1%, 25%)
Gene YDL025C high -> Gene YNL241C high  (1%, 21.4286%)
Gene YDL025C high -> Gene YMR325W high  (1%, 21.4286%)
Gene YMR325W high -> Gene YDL025C high  (1%, 37.5%)
Gene YDL025C high -> Gene YHR211W high  (1%, 21.4286%)
Gene YHR211W high -> Gene YDL025C high  (1%, 30%)
Gene YDL025C high -> Gene YKL162C high  (1%, 21.4286%)
Gene YKL162C high -> Gene YDL025C high  (1%, 42.8571%)
Gene YDL025C high -> Gene YJR158W high  (1%, 21.4286%)
Gene YJR158W high -> Gene YDL025C high  (1%, 30%)
Gene YDL025C high -> Gene YOR273C high  (1%, 21.4286%)
Gene YOR273C high -> Gene YDL025C high  (1%, 33.3333%)
Gene YDL025C high -> Gene YNR002C high  (1%, 21.4286%)
Gene YNR002C high -> Gene YDL025C high  (1%, 50%)
Gene YDL025C high -> Gene YER095W high  (1%, 21.4286%)
Gene YDL025C high -> Gene YDL242W high  (1%, 21.4286%)
Gene YDL242W high -> Gene YDL025C high  (1%, 33.3333%)
Gene YDL025C high -> Gene YGR295C high  (1%, 21.4286%)
Gene YGR295C high -> Gene YDL025C high  (1%, 37.5%)
Gene YDL025C high -> Gene YLR414C high  (1%, 21.4286%)
Gene YLR414C high -> Gene YDL025C high  (1%, 30%)
Gene YDL025C high -> Gene YBR128C high  (1%, 21.4286%)
Gene YBR128C high -> Gene YDL025C high  (1%, 42.8571%)
Gene YDL025C high -> Gene YPR197C high  (1%, 21.4286%)
Gene YPR197C high -> Gene YDL025C high  (1%, 33.3333%)
Gene YDL025C high -> Gene YFL067W high  (1%, 21.4286%)
Gene YDL025C high -> Gene YGR230W high  (1%, 21.4286%)
Gene YGR230W high -> Gene YDL025C high  (1%, 42.8571%)
Gene YDL025C high -> Gene YPR148C high  (1%, 21.4286%)
Gene YPR148C high -> Gene YDL025C high  (1%, 50%)
Gene YDL025C high -> Gene YOR213C high  (1%, 21.4286%)
Gene YOR213C high -> Gene YDL025C high  (1%, 60%)
Gene YDL025C high -> Gene YGR131W high  (1%, 21.4286%)
Gene YGR131W high -> Gene YDL025C high  (1%, 27.2727%)
Gene YDL025C high -> Gene YJR035W high  (1%, 21.4286%)
Gene YJR035W high -> Gene YDL025C high  (1%, 75%)
Gene YDL025C high -> Gene YGL249W high  (1%, 21.4286%)
Gene YGL249W high -> Gene YDL025C high  (1%, 33.3333%)
Gene YDL025C high -> Gene YPL223C high  (1%, 21.4286%)
Gene YPL223C high -> Gene YDL025C high  (1%, 25%)
Gene YDL025C high -> Gene YGR141W high  (1%, 21.4286%)
Gene YGR141W high -> Gene YDL025C high  (1%, 60%)
Gene YDL025C high -> Gene YHL036W high  (1%, 21.4286%)
Gene YHL036W high -> Gene YDL025C high  (1%, 50%)
Gene YDL025C high -> Gene YDR379W high  (1%, 21.4286%)
Gene YDR379W high -> Gene YDL025C high  (1%, 60%)
Gene YDL025C high -> Gene YPL276W high  (1%, 21.4286%)
Gene YPL276W high -> Gene YDL025C high  (1%, 37.5%)
Gene YDL025C high -> Gene YOR288C high  (1%, 21.4286%)
Gene YOR288C high -> Gene YDL025C high  (1%, 60%)
Gene YDL025C high -> Gene YOR152C high  (1%, 21.4286%)
Gene YDL025C high -> Gene YDL222C high  (1%, 21.4286%)
Gene YDL025C high -> Gene YMR266W high  (1%, 21.4286%)
Gene YMR266W high -> Gene YDL025C high  (1%, 42.8571%)
Gene YDL025C high -> Gene YCR098C high  (1%, 21.4286%)
Gene YCR098C high -> Gene YDL025C high  (1%, 37.5%)
Gene YDL025C high -> Gene YER020W high  (1%, 21.4286%)
Gene YER020W high -> Gene YDL025C high  (1%, 75%)
Gene YDL025C high -> Gene YJL026W high  (1%, 21.4286%)
Gene YDL025C high -> Gene YPL278C high  (1%, 21.4286%)
Gene YPL278C high -> Gene YDL025C high  (1%, 23.0769%)
Gene YDL025C high -> Gene YKL095W high  (1%, 21.4286%)
Gene YKL095W high -> Gene YDL025C high  (1%, 50%)
Gene YDL025C high -> Gene YMR253C high  (1%, 21.4286%)
Gene YMR253C high -> Gene YDL025C high  (1%, 75%)
Gene YDL025C high -> Gene YNL180C high  (1%, 21.4286%)
Gene YNL180C high -> Gene YDL025C high  (1%, 50%)
Gene YDL025C high -> Gene YIL120W high  (1%, 21.4286%)
Gene YIL120W high -> Gene YDL025C high  (1%, 42.8571%)
Gene YDL025C high -> Gene YPR158W high  (1%, 21.4286%)
Gene YDL025C high -> Gene YDL174C high  (1%, 21.4286%)
Gene YDL174C high -> Gene YDL025C high  (1%, 30%)
Gene YDL025C high -> Gene YDR209C high  (1%, 21.4286%)
Gene YDR209C high -> Gene YDL025C high  (1%, 75%)
Gene YDL025C high -> Gene YMR137C high  (1%, 21.4286%)
Gene YMR137C high -> Gene YDL025C high  (1%, 60%)
Gene YDL025C high -> Gene YAR035W high  (1%, 21.4286%)
Gene YAR035W high -> Gene YDL025C high  (1%, 42.8571%)
Gene YDL025C high -> Gene YAL063C high  (1%, 21.4286%)
Gene YAL063C high -> Gene YDL025C high  (1%, 50%)
Gene YDL025C high -> Gene YLL028W high  (1%, 21.4286%)
Gene YLL028W high -> Gene YDL025C high  (1%, 75%)
Gene YDL025C high -> Gene YDR406W high  (1%, 21.4286%)
Gene YDL025C high -> Gene YNR072W high  (1%, 21.4286%)
Gene YNR072W high -> Gene YDL025C high  (1%, 21.4286%)
Gene YDL025C high -> Gene YGR143W high  (1%, 21.4286%)
Gene YGR143W high -> Gene YDL025C high  (1%, 37.5%)
Gene YDL025C high -> Gene YJR119C high  (1%, 21.4286%)
Gene YJR119C high -> Gene YDL025C high  (1%, 30%)
Gene YDL025C high -> Gene YOL132W high  (1%, 21.4286%)
Gene YDL025C high -> Gene YBR004C high  (1%, 21.4286%)
Gene YBR004C high -> Gene YDL025C high  (1%, 37.5%)
Gene YDL025C high -> Gene YEL069C high  (1%, 21.4286%)
Gene YEL069C high -> Gene YDL025C high  (1%, 30%)
Gene YDL025C high -> Gene YAR029W high  (1%, 21.4286%)
Gene YAR029W high -> Gene YDL025C high  (1%, 60%)
Gene YDL025C high -> Gene YIL172C high  (1%, 21.4286%)
Gene YIL172C high -> Gene YDL025C high  (1%, 50%)
Gene YDL025C high -> Gene YGR019W high  (1%, 21.4286%)
Gene YGR019W high -> Gene YDL025C high  (1%, 33.3333%)
Gene YDL025C high -> Gene YFL052W high  (1%, 21.4286%)
Gene YFL052W high -> Gene YDL025C high  (1%, 30%)
Gene YDL025C high -> Gene YFL062W high  (1%, 21.4286%)
Gene YFL062W high -> Gene YDL025C high  (1%, 30%)
Gene YDL025C high -> Gene YHR179W high  (1%, 21.4286%)
Gene YHR179W high -> Gene YDL025C high  (1%, 21.4286%)
Gene YDL025C high -> Gene YMR202W high  (1%, 21.4286%)
Gene YMR202W high -> Gene YDL025C high  (1%, 60%)
Gene YDL025C high -> Gene YJL072C high  (1%, 21.4286%)
Gene YJL072C high -> Gene YDL025C high  (1%, 75%)
Gene YDL025C high -> Gene YJL115W high  (1%, 21.4286%)
Gene YJL115W high -> Gene YDL025C high  (1%, 50%)
Gene YDL025C high -> Gene YFL032W high  (1%, 21.4286%)
Gene YDL025C high -> Gene YMR279C high  (1%, 21.4286%)
Gene YMR279C high -> Gene YDL025C high  (1%, 50%)
Gene YDL025C high -> Gene YPL006W high  (1%, 21.4286%)
Gene YPL006W high -> Gene YDL025C high  (1%, 100%)
Gene YDL025C high -> Gene YGL178W high  (1%, 21.4286%)
Gene YDL025C high -> Gene YFR047C high  (1%, 21.4286%)
Gene YFR047C high -> Gene YDL025C high  (1%, 75%)
Gene YDL025C high -> Gene YAR047C high  (1%, 21.4286%)
Gene YAR047C high -> Gene YDL025C high  (1%, 25%)
Gene YDL025C high -> Gene YMR319C high  (1%, 21.4286%)
Gene YMR319C high -> Gene YDL025C high  (1%, 37.5%)
Gene YDL025C high -> Gene YFR017C high  (1%, 21.4286%)
Gene YDL025C high -> Gene YLR463C high  (1%, 21.4286%)
Gene YLR463C high -> Gene YDL025C high  (1%, 37.5%)
Gene YDL025C high -> Gene YEL047C high  (1%, 21.4286%)
Gene YEL047C high -> Gene YDL025C high  (1%, 30%)
Gene YDL025C high -> Gene YJL105W high  (1%, 21.4286%)
Gene YJL105W high -> Gene YDL025C high  (1%, 33.3333%)
Gene YDL025C high -> Gene YNR073C high  (1%, 21.4286%)
Gene YDL025C high -> Gene YAL065C high  (1%, 21.4286%)
Gene YAL065C high -> Gene YDL025C high  (1%, 42.8571%)
Gene YDL025C high -> Gene YPL087W high  (1%, 21.4286%)
Gene YPL087W high -> Gene YDL025C high  (1%, 42.8571%)
Gene YDL025C high -> Gene YBR295W high  (1%, 21.4286%)
Gene YDL025C high -> Gene YLR252W high  (1%, 21.4286%)
Gene YLR252W high -> Gene YDL025C high  (1%, 30%)
Gene YDL025C high -> Gene YBR180W high  (1%, 21.4286%)
Gene YBR180W high -> Gene YDL025C high  (1%, 60%)
Gene YDL025C high -> Gene YHL047C high  (1%, 21.4286%)
Gene YDL025C high -> Gene YLR452C high  (1%, 21.4286%)
Gene YDL025C high -> Gene YCR039C high  (1%, 21.4286%)
Gene YCR039C high -> Gene YDL025C high  (1%, 37.5%)
Gene YDL025C high -> Gene YJR077C high  (1%, 21.4286%)
Gene YDL025C high -> Gene YNL270C high  (1%, 21.4286%)
Gene YNL270C high -> Gene YDL025C high  (1%, 23.0769%)
Gene YDL025C high -> Gene YJR095W high  (1%, 21.4286%)
Gene YJR095W high -> Gene YDL025C high  (1%, 23.0769%)
Gene YDL025C high -> Gene YBL029W high  (1%, 21.4286%)
Gene YBL029W high -> Gene YDL025C high  (1%, 60%)
Gene YDL025C high -> Gene YNL009W high  (1%, 21.4286%)
Gene YNL009W high -> Gene YDL025C high  (1%, 42.8571%)
Gene YDL025C high -> Gene YEL072W high  (1%, 21.4286%)
Gene YEL072W high -> Gene YDL025C high  (1%, 60%)
